postcode_district,postcode_sector
AB10,AB10 1
AB10,AB10 6
AB10,AB10 7
AB11,AB11 5
AB11,AB11 6
AB11,AB11 7
AB11,AB11 8
AB11,AB11 9
AB12,AB12 3
AB12,AB12 4
AB12,AB12 5
AB12,AB12 9
AB13,AB13 0
AB14,AB14 0
AB15,AB15 4
AB15,AB15 5
AB15,AB15 6
AB15,AB15 7
AB15,AB15 8
AB15,AB15 9
AB16,AB16 5
AB16,AB16 6
AB16,AB16 7
AB16,AB16 9
AB21,AB21 0
AB21,AB21 1
AB21,AB21 7
AB21,AB21 9
AB22,AB22 8
AB22,AB22 9
AB23,AB23 8
AB23,AB23 9
AB24,AB24 1
AB24,AB24 2
AB24,AB24 3
AB24,AB24 4
AB24,AB24 5
AB25,AB25 1
AB25,AB25 2
AB25,AB25 3
AB25,AB25 9
AB30,AB30 1
AB30,AB30 9
AB31,AB31 4
AB31,AB31 5
AB31,AB31 6
AB31,AB31 9
AB32,AB32 6
AB32,AB32 7
AB32,AB32 9
AB33,AB33 8
AB34,AB34 4
AB34,AB34 5
AB35,AB35 5
AB36,AB36 8
AB37,AB37 9
AB38,AB38 7
AB38,AB38 9
AB39,AB39 2
AB39,AB39 3
AB39,AB39 8
AB39,AB39 9
AB41,AB41 1
AB41,AB41 6
AB41,AB41 7
AB41,AB41 8
AB41,AB41 9
AB42,AB42 0
AB42,AB42 1
AB42,AB42 2
AB42,AB42 3
AB42,AB42 4
AB42,AB42 5
AB42,AB42 9
AB43,AB43 6
AB43,AB43 7
AB43,AB43 8
AB43,AB43 9
AB44,AB44 1
AB45,AB45 1
AB45,AB45 2
AB45,AB45 3
AB51,AB51 0
AB51,AB51 1
AB51,AB51 3
AB51,AB51 4
AB51,AB51 5
AB51,AB51 6
AB51,AB51 7
AB51,AB51 8
AB52,AB52 6
AB53,AB53 4
AB53,AB53 5
AB53,AB53 6
AB53,AB53 8
AB53,AB53 9
AB54,AB54 4
AB54,AB54 6
AB54,AB54 7
AB54,AB54 8
AB54,AB54 9
AB55,AB55 4
AB55,AB55 5
AB55,AB55 6
AB56,AB56 1
AB56,AB56 4
AB56,AB56 5
AB56,AB56 9
AB99,AB99 8
AL1,AL1 1
AL1,AL1 2
AL1,AL1 3
AL1,AL1 4
AL1,AL1 5
AL1,AL1 9
AL10,AL10 0
AL10,AL10 1
AL10,AL10 8
AL10,AL10 9
AL2,AL2 1
AL2,AL2 2
AL2,AL2 3
AL3,AL3 4
AL3,AL3 5
AL3,AL3 6
AL3,AL3 7
AL3,AL3 8
AL4,AL4 0
AL4,AL4 8
AL4,AL4 9
AL5,AL5 1
AL5,AL5 2
AL5,AL5 3
AL5,AL5 4
AL5,AL5 5
AL5,AL5 9
AL6,AL6 0
AL6,AL6 9
AL7,AL7 1
AL7,AL7 2
AL7,AL7 3
AL7,AL7 4
AL7,AL7 9
AL8,AL8 6
AL8,AL8 7
AL9,AL9 5
AL9,AL9 6
AL9,AL9 7
B1,B1 1
B1,B1 2
B1,B1 3
B10,B10 0
B10,B10 9
B11,B11 1
B11,B11 2
B11,B11 3
B11,B11 4
B11,B11 9
B12,B12 0
B12,B12 8
B12,B12 9
B13,B13 0
B13,B13 3
B13,B13 8
B13,B13 9
B14,B14 4
B14,B14 5
B14,B14 6
B14,B14 7
B15,B15 1
B15,B15 2
B15,B15 3
B16,B16 0
B16,B16 6
B16,B16 8
B16,B16 9
B17,B17 0
B17,B17 8
B17,B17 9
B18,B18 4
B18,B18 5
B18,B18 6
B18,B18 7
B18,B18 9
B19,B19 1
B19,B19 2
B19,B19 3
